route,purpose,indexation,primary_intent,primary_keyword,ads_eligible,organic_owner,status,canonical_strategy,sitemap,priority,notes
/setores/governo/,sector_hub,index,government_procurement,integração audiovisual para governo,yes,/setores/governo/,existing_expand,self,yes,P0,"Broad public-sector authority hub; link to tribunal/plenary solution"
/servicos/consultoria-engenharia/,organic_service,index,commercial,engenharia audiovisual,yes,/servicos/consultoria-engenharia/,existing_strengthen,self,yes,P1,"Owner for engineering/project/specification intent"
/servicos/suporte-manutencao/,organic_service,index,commercial,manutenção audiovisual corporativa,yes,/servicos/suporte-manutencao/,existing_strengthen,self,yes,P0,"Owner for maintenance/support intent"
/insights/,editorial_hub,index,informational,conteúdo técnico audiovisual,no,/insights/,existing_strengthen,self,yes,P1,"Topic clusters and contextual commercial links"
/insights/video-wall-gestao/,editorial,index,informational,gestão de videowall,no,/insights/video-wall-gestao/,existing_build_cluster,self,yes,P0,"Bridge to ATIV videowall solution; contextual Easywall/VideowallBR references"
/insights/av-over-ip-guia-completo-infraestrutura-rede/,editorial_pillar,index,informational,AV over IP guia completo,no,/insights/av-over-ip-guia-completo-infraestrutura-rede/,existing_measure,self,yes,P1,"Potential pillar after cannibalization analysis"
/insights/av-over-ip-fundamentos/,editorial_support,index,informational,AV over IP fundamentos,no,/insights/av-over-ip-fundamentos/,existing_measure,self,yes,P1,"Do not merge/redirect before GSC and backlink analysis"
/sobre/,company,index,navigational,ATIV audiovisual,no,/sobre/,existing_preserve,self,yes,P1,"Keep existing URL; company name is ATIV; history, team and certifications require Claim Registry evidence"
/contato/,contact,index,transactional,contato integradora audiovisual,yes,/contato/,existing_preserve,self,yes,P0,"Keep existing URL; never republish placeholder phone; verified contact data and lead endpoint are later gates"
/lp/integracao-audiovisual-corporativa/,paid_landing,noindex_follow,transactional,integração audiovisual corporativa,yes,/solucoes/audiovisual/,candidate_paid,self_or_none,no,P0,"Dedicated conversion variant; unique useful content; AdsBot allowed; never doorway-indexed"
/lp/salas-reuniao-hibridas/,paid_landing,noindex_follow,transactional,sala de reunião híbrida,yes,/solucoes/sala-reuniao-hibrida-sao-paulo/,candidate_paid,self_or_none,no,P0,"Message-match ad groups; preserve main-domain final destination"
/lp/microsoft-teams-rooms/,paid_landing,noindex_follow,transactional,Microsoft Teams Rooms,yes,/solucoes/microsoft-teams-rooms/,candidate_paid,self_or_none,no,P0,"Only advertise claims/certifications that are verified"
/lp/videowall-centro-comando/,paid_landing,noindex_follow,transactional,videowall centro de comando,yes,/solucoes/videowall/,candidate_paid,self_or_none,no,P0,"Can serve videowall/NOC ad groups with dynamic copy only when content remains useful and truthful"
/lp/auditorios-corporativos/,paid_landing,noindex_follow,transactional,sistema audiovisual para auditório,yes,/solucoes/auditorio-corporativo-sao-paulo/,candidate_paid,self_or_none,no,P0,"High intent; clear scope, evidence, CTA and contact identity"
/lp/governo-tribunais/,paid_landing,noindex_follow,transactional,sistema audiovisual para governo e tribunais,yes,/solucoes/governo-tribunais-sao-paulo/,candidate_paid,self_or_none,no,P0,"Procurement-safe language; no unsupported customer/contract claims"
/lp/manutencao-suporte-av/,paid_landing,noindex_follow,transactional,manutenção audiovisual corporativa,yes,/servicos/suporte-manutencao/,candidate_paid,self_or_none,no,P0,"SLA claims only after Claim Registry verification"
/lp/engenharia-audiovisual/,paid_landing,noindex_follow,transactional,engenharia audiovisual,yes,/servicos/consultoria-engenharia/,candidate_paid,self_or_none,no,P1,"Lead form tailored to project stage and technical scope"
/lp/av-over-ip/,paid_landing,noindex_follow,transactional,AV over IP,yes,/solucoes/av-over-ip/,candidate_paid,self_or_none,no,P1,"Use only if campaign demand justifies dedicated conversion variant"
/lp/automacao-audiovisual/,paid_landing,noindex_follow,transactional,automação audiovisual,yes,/solucoes/automacao-controle/,candidate_paid,self_or_none,no,P1,"No mass city variants; use campaign/query parameters for attribution"
