current_url,normalized_url,status_http,canonical,indexable,page_type,title,h1,clicks,impressions,ctr,average_position,referring_domains,leads,target_intent,primary_keyword,decision,proposed_url,redirect_required,priority,owner,last_verified,notes
https://www.ativpro.com/solucoes/infraestrutura-ti/,https://www.ativpro.com/solucoes/infraestrutura-ti/,200,VERIFY,VERIFY_GSC,solution,"infraestrutura de rede para AV | Infraestrutura de Rede e TI","Infraestrutura de rede para AV: Infraestrutura de Rede e TI",,,,,,,,commercial,"infraestrutura de rede para AV",KEEP_FIX_COPY,,false,P1,SEO,2026-08-24,"Title/H1 repetition; connect to AV-over-IP cluster"
https://www.ativpro.com/solucoes/integracao-sistemas/,https://www.ativpro.com/solucoes/integracao-sistemas/,200,VERIFY,VERIFY_GSC,solution,,"Integração de sistemas AV: Integração de Sistemas Multi-Fabricante",,,,,,,,commercial,"integração de sistemas AV",KEEP_FIX_COPY,,false,P1,SEO,2026-08-24,"H1 wording repetitive; strengthen multi-vendor engineering intent"
https://www.ativpro.com/solucoes/sala-reuniao-hibrida-sao-paulo/,https://www.ativpro.com/solucoes/sala-reuniao-hibrida-sao-paulo/,200,VERIFY,VERIFY_GSC,solution,"ATIV | Integração Audiovisual, Automação e Colaboração","S a l a s d e R e u n i ã o H í b r i d a s",,,,,,,,commercial,"sala de reunião híbrida",KEEP_FIX_METADATA_H1,,false,P0,SEO,2026-08-24,"Deep commercial content but generic title + character-split H1; preserve slug pending GSC"
https://www.ativpro.com/solucoes/auditorio-corporativo-sao-paulo/,https://www.ativpro.com/solucoes/auditorio-corporativo-sao-paulo/,200,VERIFY,VERIFY_GSC,solution,"ATIV | Integração Audiovisual, Automação e Colaboração","A u d i t ó r i o s C o r p o r a t i v o s",,,,,,,,commercial,"sistema audiovisual para auditório",KEEP_FIX_METADATA_H1,,false,P0,SEO,2026-08-24,"Deep content; equipment/performance/price claims require current evidence"
https://www.ativpro.com/solucoes/centro-comando-controle-noc-soc-sao-paulo/,https://www.ativpro.com/solucoes/centro-comando-controle-noc-soc-sao-paulo/,200,VERIFY,VERIFY_GSC,solution,"ATIV | Integração Audiovisual, Automação e Colaboração","C e n t r o s d e C o m a n d o e C o n t r o l e",,,,,,,,commercial,"centro de comando e controle",KEEP_FIX_METADATA_H1,,false,P0,SEO,2026-08-24,"Deep high-intent page; reliability/SLA/failover claims require evidence; natural contextual Easywall link candidate"
https://www.ativpro.com/solucoes/governo-tribunais-sao-paulo/,https://www.ativpro.com/solucoes/governo-tribunais-sao-paulo/,200,VERIFY,VERIFY_GSC,solution,"ATIV | Integração Audiovisual, Automação e Colaboração","S o l u ç õ e s A u d i o v i s u a i s p a r a G o v e r n o e T r i b u n a i s",,,,,,,,government_procurement,"sistema audiovisual para tribunal",KEEP_FIX_METADATA_H1,,false,P0,SEO,2026-08-24,"Strong vertical opportunity; verify all government/client/compliance claims with evidence"
https://www.ativpro.com/setores/,https://www.ativpro.com/setores/,200,VERIFY,VERIFY_GSC,sectors_index,"integração AV por setor | Soluções por Setor de Atuação | ATIV","Setores atendidos",,,,,,,,commercial,"integração audiovisual por setor",KEEP_FIX_METADATA,,false,P1,SEO,2026-08-24,"Improve compact title and internal hierarchy"
https://www.ativpro.com/setores/corporativo/,https://www.ativpro.com/setores/corporativo/,200,VERIFY,VERIFY_GSC,sector,"soluções AV corporativo | Soluções AV para Setor Corporativo","Soluções AV corporativo: Soluções AV para Setor Corporativo",,,,,,,,commercial,"audiovisual corporativo",KEEP_EXPAND_CONTENT,,false,P0,Content,2026-08-24,"Thin relative to strategic importance; should become corporate topic/decision hub without duplicating solution pages"
https://www.ativpro.com/setores/governo/,https://www.ativpro.com/setores/governo/,200,VERIFY,VERIFY_GSC,sector,"Soluções AV para Governo | ATIV","Soluções AV para Governo",,,,,,,,government_procurement,"integração audiovisual para governo",KEEP_EXPAND_CONTENT,,false,P0,Content,2026-08-24,"Thin relative to opportunity; differentiate broad government sector intent from tribunal/plenary solution page"
https://www.ativpro.com/setores/educacao/,https://www.ativpro.com/setores/educacao/,200,VERIFY,VERIFY_GSC,sector,"Soluções AV para Educação | ATIV","Soluções AV para Educação",,,,,,,,commercial,"audiovisual para educação",KEEP_RESEARCH_DEMAND,,false,P2,SEO,2026-08-24,"Thin; expand only with demand + evidence/cases"
https://www.ativpro.com/setores/saude/,https://www.ativpro.com/setores/saude/,200,VERIFY,VERIFY_GSC,sector,"Soluções AV para Saúde | ATIV","Soluções AV para Saúde",,,,,,,,commercial,"audiovisual para saúde",KEEP_RESEARCH_DEMAND,,false,P2,SEO,2026-08-24,"Thin; expand only with demand + evidence/cases"
https://www.ativpro.com/setores/industria/,https://www.ativpro.com/setores/industria/,200,VERIFY,VERIFY_GSC,sector,"Soluções AV para Indústria | ATIV","Soluções AV para Indústria",,,,,,,,commercial,"audiovisual industrial",KEEP_RESEARCH_DEMAND,,false,P2,SEO,2026-08-24,"Thin; possible NOC/control-room relevance"
https://www.ativpro.com/setores/hospitality-eventos/,https://www.ativpro.com/setores/hospitality-eventos/,200,VERIFY,VERIFY_GSC,sector,"Soluções AV para Hospitality e Eventos | ATIV","Soluções AV para Hospitality e Eventos",,,,,,,,commercial,"audiovisual hospitality",KEEP_RESEARCH_DEMAND,,false,P2,SEO,2026-08-24,"Thin; keep separated from core authority unless commercial data supports it"
https://www.ativpro.com/sobre/,https://www.ativpro.com/sobre/,200,VERIFY,VERIFY_GSC,company,"integradora audiovisual SP | Sobre a ATIV Pro | ATIV Pro","Sobre a ATIV PRO",,,,,,,,navigational,"ATIV audiovisual",KEEP_ADD_EVIDENCE,,false,P1,Content,2026-08-24,"Strengthen legal identity, history, certifications, team, location, real proof and Organization schema"
https://www.ativpro.com/contato/,https://www.ativpro.com/contato/,200,VERIFY,VERIFY_GSC,contact,"contato integradora audiovisual | Entre em Contato | ATIV Pro","Entre em Contato",,,,,,,,transactional,"contato integradora audiovisual",FIX_IMMEDIATELY_KEEP_URL,,false,P0,Content,2026-08-24,"Public page shows placeholder phone +55 (11) 0000-0000; high trust/Ads risk; replace with verified contact data"
https://www.ativpro.com/insights/roteiro-tecnologico-2026-2027/,https://www.ativpro.com/insights/roteiro-tecnologico-2026-2027/,200,VERIFY,VERIFY_GSC,article,"Roteiro Tecnológico 2026-2027 | ATIV",,,,,,,,,informational,"tendências tecnologia audiovisual 2026",KEEP_SOURCE_AUDIT,,false,P1,Content,2026-08-24,"Long technical article; audit exact percentages/standards/future claims and add authoritative citations"
https://www.ativpro.com/insights/av-over-ip-fundamentos/,https://www.ativpro.com/insights/av-over-ip-fundamentos/,200,VERIFY,VERIFY_GSC,article,"AV over IP Fundamentos | ATIV",,,,,,,,,informational,"AV over IP fundamentos",MEASURE_CANNIBALIZATION,,false,P1,SEO,2026-08-24,"Overlaps with complete infrastructure guide; compare GSC queries/backlinks before merge/canonical/redirect"
https://www.ativpro.com/insights/q-sys-automacao-avancada/,https://www.ativpro.com/insights/q-sys-automacao-avancada/,200,VERIFY,VERIFY_GSC,article,"Q-SYS Automação Avançada | ATIV",,,,,,,,,informational,"Q-SYS automação audiovisual",KEEP_OPTIMIZE,,false,P2,Content,2026-08-24,"Good specialist content candidate; ensure manufacturer claims/sources are current"
https://www.ativpro.com/insights/videoconferencia-hibrida/,https://www.ativpro.com/insights/videoconferencia-hibrida/,200,VERIFY,VERIFY_GSC,article,"Videoconferência Híbrida | ATIV",,,,,,,,,informational,"videoconferência híbrida",KEEP_LINK_COMMERCIAL,,false,P1,SEO,2026-08-24,"Link contextually to room/Teams commercial pages"
https://www.ativpro.com/insights/dante-audio-networking/,https://www.ativpro.com/insights/dante-audio-networking/,200,VERIFY,VERIFY_GSC,article,"Dante Audio Networking | ATIV",,,,,,,,,informational,"Dante áudio em rede",KEEP_OPTIMIZE,,false,P1,SEO,2026-08-24,"Own informational Dante intent; connect to AV-over-IP/infra network commercial pages"
https://www.ativpro.com/insights/video-wall-gestao/,https://www.ativpro.com/insights/video-wall-gestao/,200,VERIFY,VERIFY_GSC,article,"Video Wall Gestão | ATIV",,,,,,,,,informational,"gestão de videowall",KEEP_BUILD_CLUSTER,,false,P0,SEO,2026-08-24,"High-value bridge to future dedicated videowall solution and contextual Easywall/VideowallBR resources"
https://www.ativpro.com/insights/seguranca-av-sistemas/,https://www.ativpro.com/insights/seguranca-av-sistemas/,200,VERIFY,VERIFY_GSC,article,"Segurança em Sistemas AV | ATIV",,,,,,,,,informational,"segurança de sistemas AV",KEEP_OPTIMIZE,,false,P2,SEO,2026-08-24,"Useful technical authority if backed by standards/sources"
https://www.ativpro.com/insights/av-over-ip-guia-completo-infraestrutura-rede/,https://www.ativpro.com/insights/av-over-ip-guia-completo-infraestrutura-rede/,200,VERIFY,VERIFY_GSC,article,"AV over IP Guia Completo de Infraestrutura de Rede | ATIV",,,,,,,,,informational,"AV over IP guia completo",MEASURE_CANNIBALIZATION,,false,P0,SEO,2026-08-24,"Potential pillar for informational AV-over-IP; decide relation to fundamentals article only after GSC/backlink comparison"
